"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCL20",412.421724077588,3.14284814027161,0.164532686324715,19.1016642982964,2.4456576985236e-81,3.00595787725535e-77
"SAA2",576.187961018555,2.42138522001784,0.128072794018963,18.9063199453532,1.01175808950573e-79,6.21775933905749e-76
"SAA1",3318.58684006705,2.22070906728294,0.140699123698672,15.7833894689985,4.04851240873488e-56,1.65867553385868e-52
"IL36G",271.513496003509,2.73140948303323,0.174987636243843,15.6091569762508,6.30647728532121e-55,1.93782280784708e-51
"SPRR2D",365.434791030559,2.97825433032139,0.195560188952609,15.2293488069963,2.25829580048744e-52,5.55134273675823e-49
"S100A8",1708.2264220525,1.8681126155932,0.122932221647762,15.1962812560722,3.74273365302097e-52,7.66698988821345e-49
"TNFAIP3",2290.64664939014,1.61040395211967,0.107797881697687,14.9391057297021,1.83420169194961e-50,3.22059614225038e-47
"INHBA",1217.72697845129,1.81822998078175,0.121791734723007,14.9290096320327,2.13412165846927e-50,3.27881116303072e-47
"KRT6B",2805.5219292014,1.54725798886774,0.110799087157933,13.9645373310909,2.56566161298606e-44,3.35998454624351e-41
"ICAM1",1886.14837621763,1.86043550731069,0.133268859012896,13.9600167742913,2.7336950176906e-44,3.35998454624351e-41
"C3",6341.05663266168,1.50761142779666,0.10823036068628,13.9296535485701,4.18379990150479e-44,4.28525704911628e-41
"CFB",789.857282472549,1.85378504944902,0.133044129736552,13.9336102473652,3.95830330615904e-44,4.28525704911628e-41
"TNIP1",4662.98975717825,1.26292403529858,0.0915369866360142,13.7968714255413,2.66155120629188e-43,2.51639429819488e-40
"CXCL1",1803.11390444742,1.41614190068538,0.105608141274509,13.4094008624238,5.32674104706238e-41,4.67649815781741e-38
"SOD2",2002.92726063359,1.51840224175979,0.119105211626337,12.7484114341142,3.18162557487713e-37,2.60702399605432e-34
"MX1",427.947890771846,2.50875737981913,0.197238985357573,12.7193788554074,4.61514238767194e-37,3.54529469292974e-34
"ZC3H12A",871.38878416592,1.67283783359021,0.136882942830705,12.2209370941064,2.4029865620539e-34,1.73735928436497e-31
"S100A9",12323.3353670072,1.10635961673014,0.091113292742702,12.1426806498414,6.27364593441378e-34,4.28385456554887e-31
"CXCL5",104.709748353985,3.48315456381445,0.294374432264634,11.8323950114091,2.65457707917424e-32,1.7172319410595e-29
"C15orf48",897.663380727013,1.2348354555817,0.106357264066934,11.6102596885586,3.65503858168021e-31,2.24620396037157e-28
